,date,equity,deposit,withdrawal
6,2025-10-01,50000.0,50000.0,0.0
7,2025-10-02,49749.09,0.0,0.0
8,2025-10-03,49382.0,0.0,0.0
9,2025-10-06,59547.71,10000.0,0.0
10,2025-10-07,59691.72,0.0,0.0
11,2025-10-08,60299.92,0.0,0.0
12,2025-10-09,60298.78,0.0,0.0
13,2025-10-10,57985.19,0.0,0.0
14,2025-10-13,59702.48,0.0,0.0
15,2025-10-14,59511.9,0.0,0.0
16,2025-10-15,60134.16,0.0,0.0
17,2025-10-16,58855.48,0.0,0.0
18,2025-10-17,68893.48,10000.0,0.0
19,2025-10-20,79609.24,10000.0,0.0
20,2025-10-21,78820.38,0.0,0.0
21,2025-10-22,77210.83,0.0,0.0
